unit_id,connection_type,technology,tier,rsp,state_or_territory,geography,is_this_service_impaired,is_this_service_underperforming,gateway_mac,All hour trimmed mean download speed,All hour minimum download speed,All hour maximum download speed,Busy hour trimmed mean download speed,Busy hour minimum download speed,Busy hour maximum download speed,All hour trimmed mean upload speed,All hour minimum upload speed,All hour maximum upload speed,Busy hour trimmed mean upload speed,Busy hour minimum upload speed,Busy hour maximum upload speed,All hour trimmed mean latency,All hour minimum latency,All hour maximum latency,Busy hour trimmed mean latency,Busy hour minimum latency,Busy hour maximum latency,Average daily outages
46192909,NBN,Fibre to the Node,50/20 Mbps,MyRepublic,NSW,Urban,FALSE,FALSE,3C84xxxxxx,53.86,16.43,54.76,52.45,31.47,54.76,18.95,16.93,19.03,18.82,16.93,19,11.01,9.26,92.04,18.81,9.34,71.79,0.06
5301261,NBN_FW,Fixed Wireless,Fixed Wireless Plus,,NSW,Minor Rural,FALSE,FALSE,C0C9xxxxxx,59.67,12.49,83.01,50.78,12.49,74.79,8.9,3.81,20.38,7.56,3.81,14.53,39.15,33.66,61.94,40.97,34.61,61.94,0.03
55971345,NBN,Fibre to the Premises,100/20 Mbps,Dodo & iPrimus,VIC,Urban,FALSE,FALSE,1013xxxxxx,106.02,77.75,106.56,103.7,77.75,106.56,17.88,17.06,18.06,17.83,17.3,18.01,3.74,3.37,10.3,3.85,3.44,4.74,0
31726869,NBN very high speed services,Hybrid Fibre Coaxial,500-990/50 Mbps,,QLD,Urban,FALSE,FALSE,1C3Bxxxxxx,734.71,29.27,897.22,596.42,29.27,894.46,45.99,16.71,46.47,44.99,23.58,46.33,16.7,15.7,39.45,17.97,15.91,38.83,1.9
4719129,NBN,Fibre to the Curb,50/20 Mbps,Other RSPs,QLD,Urban,FALSE,FALSE,7A45xxxxxx,51.06,11.7,52.4,49.84,11.7,52.09,18.78,16.28,18.9,18.7,17.54,18.86,23.44,21.9,33.34,24.03,21.93,33.34,0.03
48370457,NBN,Fibre to the Premises,250/25 Mbps,Aussie Broadband,QLD,Urban,FALSE,FALSE,7898xxxxxx,243.04,112.07,247.35,231.05,112.07,247.35,21.91,20.98,22.08,21.9,21.85,21.91,4.56,1.78,33.11,4.86,4.51,7.32,0.03
53382937,NBN,Fibre to the Premises,50/20 Mbps,iiNet,WA,Urban,FALSE,FALSE,C4EAxxxxxx,52.47,37.94,53.93,50.36,37.94,53.79,18.94,16.84,19.02,18.87,18.63,18.98,2.54,2.17,11.19,3.11,2.22,7.1,0.1
1231641,NBN,Fibre to the Node,25/5 Mbps,Telstra,NSW,Major Rural,FALSE,FALSE,1890xxxxxx,27.22,18.65,27.52,27.2,25.93,27.41,3.55,3.25,4.12,3.56,3.48,4.06,10.12,9.72,10.46,10.18,9.81,10.4,0.03
22865945,NBN,Fibre to the Node,50/20 Mbps,Superloop,QLD,Urban,TRUE,FALSE,5CB1xxxxxx,36.18,21.52,39.67,35.5,23.71,39.64,6.81,4.79,7.48,6.69,4.79,6.88,7.6,7.3,12.46,8.28,7.39,12.46,0
47354913,NBN,Hybrid Fibre Coaxial,75/20 Mbps,Aussie Broadband,NSW,Urban,FALSE,FALSE,B4FBxxxxxx,74.02,54.48,76.5,73.46,57.81,76.5,18.59,11.76,19.06,18.6,15.34,19,9.12,8.07,42.9,10.83,8.52,32.55,0.06
2261027,NBN,Fibre to the Premises,12/1 Mbps,Aussie Broadband,VIC,Urban,FALSE,FALSE,68FFxxxxxx,12.97,5.23,13.16,12.78,5.23,13.14,0.9,0.65,1.01,0.89,0.65,1.01,1.92,1.73,16.42,2.32,1.78,12.04,0
55276837,NBN,Hybrid Fibre Coaxial,50/20 Mbps,Dodo & iPrimus,WA,Urban,FALSE,FALSE,244Bxxxxxx,52.89,42.11,53.47,52.69,46.67,53.47,18.79,16.71,18.98,18.73,17.68,18.92,9.6,9.16,14.09,9.9,9.33,13.27,1.26
59419173,Non-NBN fixed line services,Fibre to the Premises,100/20 Mbps,,NSW,,FALSE,FALSE,403Fxxxxxx,93.6,78.1,95.69,92.83,79.91,94.33,18.37,15.71,18.69,18.41,18,18.64,2.37,2.23,3.43,2.48,2.32,2.88,0
56963113,NBN,Fibre to the Node,25/5 Mbps,iiNet,WA,Urban,TRUE,FALSE,D435xxxxxx,18.03,2.59,22.04,16.52,3.49,22,4.54,2.28,4.68,4.37,2.34,4.68,8.18,7.36,117.43,10.19,7.58,42.4,0.42
42617385,NBN,Hybrid Fibre Coaxial,100/20 Mbps,Telstra,NSW,Urban,FALSE,FALSE,20B0xxxxxx,107.99,22.24,109.73,105.32,23.57,109.26,18.59,4.45,19.03,18.37,4.6,18.97,10.1,9.12,49.4,10.77,9.65,37.78,1.39
53499177,NBN,Fibre to the Premises,50/20 Mbps,Exetel,WA,Urban,FALSE,FALSE,1013xxxxxx,54.32,37.88,54.69,53.59,41.26,54.51,18.86,17.88,18.93,18.84,17.88,18.91,2.32,2.05,16.94,2.85,2.15,16.94,0.61
23116329,NBN,Fibre to the Curb,50/20 Mbps,Exetel,NSW,Minor Rural,FALSE,FALSE,0C9Dxxxxxx,53.7,26.52,54.57,53,28.54,54.45,18.82,17.23,18.94,18.75,17.91,18.9,22.74,19.4,48.41,23.27,19.45,37.51,0
5071917,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,VIC,Urban,TRUE,FALSE,F8CAxxxxxx,37.86,26.17,39.18,37.27,32.89,39.13,11.48,9.65,11.98,11.52,10.9,11.98,7.39,6.59,8.02,7.48,7.36,7.81,0.08
47734321,NBN,Fibre to the Curb,100/20 Mbps,Vodafone,VIC,Urban,FALSE,FALSE,F8CAxxxxxx,91.38,43,93.67,89.75,68.83,93.43,17.75,17.06,18.08,17.67,17.06,18.02,5.14,4.93,14.65,5.68,4.94,13.36,4
38966321,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,WA,Urban,TRUE,FALSE,A036xxxxxx,36.55,17.86,39.46,35.31,17.86,39.33,6.66,5.19,7.3,6.7,5.75,7.23,9.43,8.28,50.99,11.45,8.4,38.75,0.59
4114225,NBN,Fibre to the Node,50/20 Mbps,Telstra,QLD,Urban,FALSE,FALSE,BC30xxxxxx,54.52,36.92,55.34,53.94,36.92,55.15,18.97,18.54,19.03,18.95,18.54,19.03,12.5,11.85,28.61,12.55,11.88,14.6,0.06
55458361,NBN,Fibre to the Premises,250/100 Mbps,Launtel,NSW,Urban,FALSE,FALSE,74ACxxxxxx,264.37,20.11,273.1,256.66,20.11,271.44,90.77,24.82,94.83,91.35,75.27,94.62,7.29,6.87,12.71,7.56,6.97,10.59,0.03
55458365,NBN,Fibre to the Premises,50/20 Mbps,Superloop,ACT,Urban,FALSE,FALSE,50C7xxxxxx,51.97,46.5,53.06,51.84,49.76,52.96,18.95,18.57,19.02,18.93,18.68,19,7.98,6.6,23.22,8.32,6.62,23.22,0.03
4114237,NBN,Fibre to the Node,100/40 Mbps,Aussie Broadband,QLD,Urban,TRUE,TRUE,F8CAxxxxxx,47.82,19.73,56.98,46.05,30.23,56.35,25.01,23.27,25.52,24.97,24.54,25.43,11.46,9.95,17.19,12.42,10.14,16.89,0.03
1188415,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,VIC,Urban,TRUE,TRUE,A491xxxxxx,35.38,11.39,37.05,34.38,22.65,37.02,8.93,5.55,9.83,8.87,8.12,9.62,6.48,5.4,13.57,6.98,5.49,10.89,0
54368833,NBN,Fibre to the Node,50/20 Mbps,Exetel,QLD,Major Rural,FALSE,FALSE,18F1xxxxxx,54.09,25.76,54.67,52.78,25.76,54.48,13.32,12.73,13.8,13.26,12.77,13.53,7.87,7.37,16.92,8.28,7.37,16.92,0
24424513,NBN,Fibre to the Curb,50/20 Mbps,Telstra,VIC,Urban,FALSE,FALSE,BC30xxxxxx,54.31,41.16,55.02,54.03,41.16,54.69,18.3,17.82,18.37,18.3,17.86,18.37,4.74,4.61,5.81,4.79,4.62,5.37,0.16
57345097,NBN,Fibre to the Curb,50/20 Mbps,TPG,NSW,Urban,FALSE,FALSE,34E8xxxxxx,53.33,42.4,53.75,52.92,42.4,53.64,18.84,17.05,18.93,18.84,18.56,18.91,5.17,4.9,8.18,5.3,4.91,6.8,0
1027914,NBN,Fibre to the Node,50/20 Mbps,Dodo & iPrimus,VIC,Urban,FALSE,FALSE,908Dxxxxxx,42.26,7.09,49.49,42.35,23.66,49.05,15.82,9.76,17.65,16.02,13.32,17.65,6.97,6.68,13.69,7.09,6.82,11.32,2.29
6432333,NBN,Fibre to the Node,50/20 Mbps,iiNet,QLD,Urban,FALSE,FALSE,E8DFxxxxxx,52.86,35.29,53.53,52.51,40.82,53.53,8.76,7.93,9.13,8.76,8.51,9.09,5.65,5.42,14,6.01,5.48,14,0.03
55187281,NBN,Hybrid Fibre Coaxial,100/40 Mbps,MyRepublic,NSW,Urban,FALSE,FALSE,9094xxxxxx,106.8,23.96,109.41,99.39,32.96,109.37,37.87,36,38.01,37.59,36,37.97,9.13,8.49,10.67,9.29,8.77,10.05,1
1029459,NBN,Fibre to the Node,100/40 Mbps,Telstra,VIC,Major Rural,TRUE,FALSE,A491xxxxxx,86.07,51.86,87.75,84.25,51.86,87.69,29.27,28.23,29.63,29.22,28.3,29.43,9.86,8.1,12.31,9.85,8.14,12.31,0
4329557,NBN,Fibre to the Node,50/20 Mbps,TPG,VIC,Urban,FALSE,FALSE,34E8xxxxxx,47.66,35.19,48.55,47.16,40.59,48.49,9.44,7.9,10.25,9.27,7.9,10.06,10.29,9.59,17.7,10.56,9.61,14.44,0.19
1027928,NBN,Fibre to the Node,100/40 Mbps,MyRepublic,VIC,Urban,TRUE,TRUE,1013xxxxxx,61.77,15.73,62.45,61.1,45.3,62.45,19.38,17.62,20.11,19.44,18.09,20.05,25.32,24.6,54.13,27.87,24.74,54.13,0.1
24028761,NBN,Hybrid Fibre Coaxial,100/20 Mbps,Dodo & iPrimus,NSW,Urban,FALSE,FALSE,206Dxxxxxx,105.37,15.04,107.05,104.65,93.37,106.82,18.75,15.04,18.93,18.67,15.69,18.9,9.26,8.72,20.36,9.84,8.97,18.41,0.06
59419225,NBN,Fibre to the Node,50/20 Mbps,Launtel,TAS,Minor Rural,FALSE,FALSE,388Bxxxxxx,46.13,25.97,53.97,43.85,25.97,53.97,16.02,11.9,18.33,16.74,11.95,18.33,22.48,20.27,26.44,22.6,20.52,26.02,0.03
54368861,NBN,Hybrid Fibre Coaxial,50/20 Mbps,Dodo & iPrimus,QLD,Urban,FALSE,FALSE,E0D4xxxxxx,52.56,2.95,53.71,51.63,41.42,53.46,18.69,9.34,18.93,17.92,9.54,18.89,10.18,9.5,19.22,10.89,9.95,13.74,0.5
39581021,NBN,Fibre to the Premises,100/40 Mbps,Exetel,QLD,Urban,FALSE,FALSE,74ACxxxxxx,105.1,44.3,108.89,108.15,104.35,108.89,35.28,17.98,37.72,37.67,37.64,37.71,2.04,1.97,6.2,2.1,1.99,2.91,0.09
2975327,NBN,Fibre to the Premises,75/20 Mbps,Aussie Broadband,WA,Urban,FALSE,FALSE,B6FBxxxxxx,71.44,33.84,76.63,63.38,33.84,75.67,18.91,15.97,18.99,18.8,18.43,18.98,2.14,1.68,8.71,2.47,1.81,3.61,0
56963169,NBN,Fibre to the Premises,400/50 Mbps,Launtel,NSW,Urban,FALSE,FALSE,60A4xxxxxx,444.42,134.13,447.47,436.69,134.13,447.47,47.32,24.97,47.5,46.46,24.97,47.45,2.99,2.8,7,3.26,2.94,7,0.07
2521441,NBN,Fibre to the Node,50/20 Mbps,Optus,QLD,Urban,FALSE,FALSE,44ADxxxxxx,50.27,35.59,54.66,49.93,36.88,54.63,16.51,15.06,16.89,16.41,15.06,16.89,7.87,6.4,29.34,7.9,6.41,8.86,0.1
48464233,NBN,Fibre to the Node,50/20 Mbps,iiNet,TAS,Urban,FALSE,FALSE,2880xxxxxx,53.07,26.92,53.79,52.05,30.33,53.52,17.51,15.21,17.74,17.36,15.37,17.67,16.51,16.05,23.45,16.94,16.11,23.45,0.16
1027946,NBN,Fibre to the Node,50/20 Mbps,Telstra,NSW,Urban,FALSE,FALSE,BC30xxxxxx,47.86,34.02,51.45,47.25,37.93,51.3,16.49,13.64,18.34,16.44,15.07,18.34,7.34,6.79,10.36,7.7,7.08,9.29,0.06
2227309,NBN,Hybrid Fibre Coaxial,25/5 Mbps,TPG,VIC,Urban,FALSE,FALSE,A491xxxxxx,26.43,24.18,26.57,26.4,25.37,26.56,4.58,4.26,4.66,4.58,4.47,4.65,10.66,8.06,13.08,10.76,8.34,12.32,0.03
2512751,NBN,Fibre to the Premises,50/20 Mbps,Exetel,QLD,Minor Rural,FALSE,FALSE,5078xxxxxx,54.19,30.28,54.66,54.25,49.66,54.57,18.86,18.61,18.92,18.86,18.77,18.91,2.52,2.45,4.41,2.55,2.51,2.81,0
1195121,NBN,Fibre to the Node,25/10 Mbps,Aussie Broadband,VIC,Urban,FALSE,FALSE,18F1xxxxxx,26.9,16.94,27.47,26.78,23.09,27.21,8.98,6.96,9.13,8.97,8.77,9.06,7.61,7.44,10.25,7.92,7.46,10.13,0.1
48464497,NBN,Fibre to the Premises,400/50 Mbps,Launtel,NSW,Urban,FALSE,TRUE,506Axxxxxx,265.02,85.16,287.17,260.57,150.66,277.65,47.28,35.12,47.47,47.01,44.77,47.45,2.8,2.58,11.43,3.06,2.76,4.58,0.13
57345141,NBN,Hybrid Fibre Coaxial,100/40 Mbps,MyRepublic,NSW,Urban,FALSE,FALSE,7483xxxxxx,84.57,68.71,86.79,83.71,73.47,85.61,37.81,23.32,38.01,37.73,37.2,38.01,8.66,8.01,20.53,8.91,8.37,14.93,0.07
38966393,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,QLD,Urban,TRUE,TRUE,E263xxxxxx,24.25,5.11,26.05,23.34,5.11,25.64,5.78,1.85,7.21,5.73,2.49,6.69,9.32,6.63,36.59,11.85,7.37,31.75,5
5220473,NBN,Fibre to the Premises,100/40 Mbps,iiNet,VIC,Urban,FALSE,FALSE,E063xxxxxx,95.76,68.41,98.01,95.59,72.04,96.61,36.44,35.51,36.61,36.46,35.97,36.58,2.67,2.56,3.24,2.68,2.57,2.91,0
2219385,NBN,Fibre to the Premises,250/100 Mbps,Launtel,ACT,Urban,FALSE,FALSE,76ACxxxxxx,265.3,139.98,272.95,260.59,217.44,271.96,96.47,82.29,97.03,96.09,85.18,97.02,7.27,6.75,14.95,7.6,6.96,9.35,0.13
1195133,NBN,Fibre to the Node,50/20 Mbps,Telstra,NSW,Urban,TRUE,TRUE,BC30xxxxxx,32.91,26.67,33.17,32.94,31.43,33.17,6.89,5.55,7.83,6.94,6.46,7.17,9.85,9.29,12.01,9.85,9.29,12.01,0.29
1195135,NBN,Fibre to the Premises,50/20 Mbps,Exetel,NSW,Urban,FALSE,FALSE,34DAxxxxxx,53.33,13.5,54.24,51.74,22.92,54.21,17.76,15.89,17.96,17.66,16.63,17.88,4.3,3.86,22.28,5.28,3.92,22.28,0.07
56963201,NBN,Hybrid Fibre Coaxial,50/20 Mbps,Vodafone,QLD,Urban,FALSE,FALSE,A491xxxxxx,53.11,40.81,54.02,52.64,44.31,53.96,18.81,12.73,19.02,18.79,17.34,18.95,12.81,9.47,38.56,13.17,9.8,18.57,0.06
26489985,NBN_FW,Fixed Wireless,25/5 Mbps,,NT + SA,Remote,FALSE,FALSE,001Dxxxxxx,24.19,5.13,26.54,19.33,5.13,26.1,4.38,0.67,4.56,4.14,2.72,4.54,49.56,43.94,62.43,53.25,44.7,61.71,0.15
55458177,NBN,Hybrid Fibre Coaxial,250/25 Mbps,Superloop,QLD,Urban,FALSE,FALSE,CC40xxxxxx,259.55,192.93,273.08,258.32,192.93,273.08,23.66,20.75,24.02,23.61,23.28,23.74,7.41,7.07,8.22,7.52,7.31,8.1,0.26
1195141,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,VIC,Urban,FALSE,FALSE,704Fxxxxxx,53.16,43.17,54,52.58,43.17,53.9,17.29,13.12,18.99,16.71,13.12,18.98,13.54,5.87,33.41,14.3,6.12,33.41,0.08
23486853,NBN,Fibre to the Premises,100/20 Mbps,Aussie Broadband,NSW,Major Rural,FALSE,FALSE,265Axxxxxx,107.17,28.96,110.54,103.91,28.96,108.76,18.91,17.61,19,18.81,17.82,19,4.66,4.25,29.23,6.3,4.28,29.23,0
6986373,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,QLD,Urban,FALSE,FALSE,D0DBxxxxxx,51.14,36.36,51.45,51.26,45.92,51.43,17.07,16.56,17.1,17.08,16.93,17.1,21.46,21.15,24.07,21.72,21.42,24.07,0
2211207,NBN,Fibre to the Premises,100/20 Mbps,iiNet,ACT,Urban,FALSE,FALSE,30B5xxxxxx,105.66,27.15,108.65,103.98,72.53,108.27,18.51,14.21,18.96,18.32,14.87,18.88,6.13,5.67,38.64,6.44,5.69,12.86,0.03
2521481,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,,QLD,Urban,FALSE,FALSE,14DDxxxxxx,928.49,173.16,936.82,755.93,173.16,936.13,47.37,46.57,47.49,47.13,46.8,47.28,1.96,1.79,5.02,2.3,1.86,4.93,0.03
38966409,NBN,Fibre to the Curb,100/40 Mbps,Aussie Broadband,VIC,Urban,FALSE,FALSE,788Axxxxxx,100.54,33,101.86,99.55,85.32,101.71,36.56,31.86,36.78,36.53,35.71,36.76,4.95,4.78,26.81,4.98,4.83,6.54,0.06
2992267,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,,QLD,Urban,FALSE,FALSE,703Axxxxxx,832.04,49.53,934.19,705.48,49.53,934.19,47.22,40.98,47.5,46.99,45.05,47.44,17.3,17.04,41.17,17.61,17.22,19.03,0
54368913,NBN,Fibre to the Node,100/20 Mbps,Superloop,NSW,Urban,FALSE,FALSE,DCEFxxxxxx,101.02,12.57,109.52,98.46,12.57,109.52,18.87,10.83,19.04,18.87,17.51,19.01,6.44,5.03,51.46,8.16,5.42,51.46,3.23
50834833,NBN,Fibre to the Premises,250/25 Mbps,Telstra,TAS,Urban,FALSE,FALSE,1013xxxxxx,271.1,123.69,275.87,266.09,123.69,271.89,22.77,21.71,23.01,22.77,22.04,22.96,12.37,11.75,13.77,12.49,11.77,13.77,0
2219409,NBN,Fibre to the Node,50/20 Mbps,MyRepublic,NSW,Urban,FALSE,FALSE,E0B9xxxxxx,53.96,23.22,54.8,51.94,23.22,54.74,18.93,16.02,19.06,18.66,16.41,19,20.4,19.13,82.88,27.03,19.23,82.88,0.1
4991125,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,QLD,Urban,FALSE,FALSE,A46Cxxxxxx,51.17,11.16,54.51,52.01,16.18,54.19,14.51,11.44,15.44,14.65,12.76,15.44,9.26,7.77,90.52,10.22,7.81,53.13,0.19
21854357,NBN,Hybrid Fibre Coaxial,50/20 Mbps,Aussie Broadband,QLD,Urban,FALSE,FALSE,7C10xxxxxx,53.7,5.51,54.63,53.56,47.72,54.51,18.31,2.47,19.03,18.4,15.9,18.99,9.83,8.51,13.83,9.98,8.71,13.67,0.26
43359125,NBN,Fibre to the Curb,50/20 Mbps,Exetel,VIC,Urban,FALSE,FALSE,34DAxxxxxx,53.86,27.62,54.63,53.44,44.81,54.44,17.94,15.51,18.11,17.96,17.54,18.08,6.66,5.79,13.9,7.05,6.58,13.29,0
1354391,NBN,Fibre to the Curb,50/20 Mbps,Telstra,NSW,Urban,FALSE,FALSE,BC30xxxxxx,53.75,37.13,55.39,52.68,38.09,54.75,18.74,12.38,18.87,18.6,17,18.83,7.93,7.4,11.09,8.12,7.4,10.95,0.03
1188507,NBN,Fibre to the Premises,100/40 Mbps,TPG,VIC,Urban,FALSE,FALSE,50C7xxxxxx,107.68,86.25,108.61,106.91,89.41,108.55,36.18,35.27,36.35,36.16,35.47,36.31,4.7,3.71,19.7,5.04,3.73,19.69,0.06
21854365,NBN,Fibre to the Node,50/20 Mbps,Superloop,WA,Urban,FALSE,FALSE,0C9Dxxxxxx,54.13,40.44,54.81,53.56,40.44,54.74,18.95,17.72,19.08,18.92,17.72,19.05,21.25,21,23.92,21.32,21.14,22.37,0
24028829,NBN,Fibre to the Node,50/20 Mbps,Aussie Broadband,VIC,Urban,TRUE,TRUE,00E0xxxxxx,33.01,9.8,36.83,31.97,17.61,34.38,6.46,3.59,7.12,6.36,3.59,6.86,9.26,7.94,63.05,10.34,8.36,25.26,0.16
21279133,NBN,Hybrid Fibre Coaxial,50/20 Mbps,Exetel,VIC,Urban,FALSE,FALSE,107Bxxxxxx,48.43,19.57,48.82,48.35,45.9,48.76,17.94,3.32,18.15,17.96,17.76,18.11,7.87,7.48,11.53,8.28,7.8,11.53,0.26
1028766,NBN,Fibre to the Node,50/20 Mbps,iiNet,VIC,Urban,FALSE,FALSE,76ACxxxxxx,52.69,4.51,53.86,52.67,46.69,53.73,17.78,16.4,17.96,17.73,17.45,17.88,7.79,7.51,11.36,7.97,7.7,11.36,0.55
2211231,NBN_FW,Fixed Wireless,25/5 Mbps,,TAS,Remote,FALSE,TRUE,78A0xxxxxx,4.4,0.74,12.73,4.26,1.44,12.55,0.91,0.51,1.18,0.91,0.56,1.12,49.9,43.8,92.75,50.37,44.11,61.87,0
2142625,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,,VIC,Urban,FALSE,TRUE,409Bxxxxxx,191,167.47,197.17,187.08,177.63,190.11,42.92,39,45.06,42.83,40.86,44.49,2.2,2.09,4.87,2.28,2.16,3.75,0
2521507,NBN,Fibre to the Node,50/20 Mbps,Exetel,NSW,Urban,FALSE,FALSE,18F1xxxxxx,53.93,44.05,54.53,53.88,45.4,54.5,18.86,18.4,18.96,18.86,18.74,18.9,6.37,5.99,32.82,7.35,6,32.82,0.03
4991141,NBN,Fibre to the Node,100/40 Mbps,Exetel,NSW,Urban,FALSE,FALSE,1449xxxxxx,85,82.71,88.99,84.75,82.71,86.01,37.73,35.9,37.8,37.63,35.9,37.78,7.42,6.95,25.48,8.01,7.02,25.48,0.29
2521515,NBN_FW,Fixed Wireless,Fixed Wireless Plus,,NSW,Remote,FALSE,FALSE,1013xxxxxx,57.93,5.44,84,37.3,5.44,83.28,7.13,1.34,10.27,5.47,1.66,9.73,48.94,43.37,73.77,49.42,46.22,59.09,0.04
4719021,NBN very high speed services,Hybrid Fibre Coaxial,500-990/50 Mbps,,VIC,Urban,FALSE,FALSE,D435xxxxxx,897.76,518.37,939.9,847.24,518.37,937.02,45.73,37.82,46.22,45.68,41.11,46.18,8.33,7.56,10.94,8.6,7.93,10.24,0.23
1347757,NBN,Fibre to the Node,100/20 Mbps,Superloop,NSW,Urban,FALSE,FALSE,A491xxxxxx,100.39,14.42,100.55,100.25,94.76,100.52,18.97,18.1,19.09,18.93,18.1,19.01,9.6,8.96,30.48,10.73,9.06,30.48,0.03
1354415,NBN,Fibre to the Node,25/5 Mbps,Telstra,NSW,Urban,FALSE,FALSE,D435xxxxxx,27.27,20.84,27.57,27.18,23.45,27.57,4.67,3.48,5.08,4.71,3.83,5.08,6.68,6.3,8.61,6.66,6.3,7.06,0.39
59419313,NBN,Fibre to the Premises,25/10 Mbps,Dodo & iPrimus,ACT,Urban,FALSE,FALSE,F8CAxxxxxx,26.59,21.2,26.67,26.58,26.32,26.67,9.41,9.25,9.47,9.41,9.34,9.44,6.33,5.87,41.84,6.53,5.89,11.53,0.06
24029365,NBN,Hybrid Fibre Coaxial,100/20 Mbps,TPG,NSW,Urban,FALSE,FALSE,34E8xxxxxx,105.41,37.65,108.26,103.02,85.24,108.01,18.52,6.65,18.89,18.6,17.95,18.84,8.32,7.54,50.83,8.77,7.8,13.72,0.1
1028790,NBN,Fibre to the Node,50/20 Mbps,iiNet,NSW,Urban,FALSE,FALSE,2887xxxxxx,52.09,35.12,53.99,50.25,35.12,53.93,18.33,16.33,19.02,18.49,16.86,19.01,20.97,19.45,24.72,21.06,19.46,23.9,0.38
4529593,NBN,Fibre to the Premises,100/20 Mbps,Other RSPs,NSW,Urban,FALSE,FALSE,0836xxxxxx,92.79,69.91,93.96,92.34,78.2,93.79,18.94,16.78,19,18.93,18.52,18.99,4.22,3.32,5.84,4.29,3.46,5.81,0.26
45887673,NBN,Fibre to the Node,50/20 Mbps,iiNet,QLD,Urban,TRUE,FALSE,A491xxxxxx,38.71,21.57,38.85,38.69,36.97,38.85,12.88,12.71,12.9,12.87,12.73,12.9,11.28,11.04,24.87,11.48,11.08,17.24,0
